"Module Version",RG,Created,Hidden,Warning
Spryker.SecurityGuiExtension:1.1.0,3902,2021-12-10T09:21:20+00:00,,
Spryker.SecurityGui:1.1.0,3902,2021-12-10T09:21:19+00:00,,
Spryker.MerchantUserExtension:1.1.0,3902,2021-12-10T09:21:18+00:00,,
Spryker.MerchantUser:1.1.0,3902,2021-12-10T09:21:17+00:00,,
Spryker.AclMerchantPortal:1.4.0,3902,2021-12-10T09:21:16+00:00,,
Spryker.AclEntity:1.2.0,3893,2021-12-08T07:52:03+00:00,,
Spryker.ProductCategory:4.13.0,3890,2021-12-06T13:40:22+00:00,,
Spryker.DiscountExtension:1.2.0,3890,2021-12-06T13:40:20+00:00,,
Spryker.Discount:9.22.0,3890,2021-12-06T13:40:19+00:00,,
Spryker.CategoryDiscountConnector:1.0.0,3890,2021-12-06T13:40:18+00:00,,
Spryker.Category:5.3.0,3890,2021-12-06T13:40:17+00:00,,
Spryker.Discount:9.21.0,3889,2021-12-06T12:32:36+00:00,,
SprykerEco.Heidelpay:2.5.0,3338,2021-12-03T12:34:13+00:00,,
Spryker.ProductLabelGui:3.2.0,3698,2021-12-03T11:41:15+00:00,,
Spryker.CategoriesRestApi:1.6.0,3891,2021-12-02T12:32:13+00:00,,
Spryker.Kernel:3.61.1,3897,2021-12-01T21:19:04+00:00,,
Spryker.ProductOfferMerchantPortalGui:1.4.1,3878,2021-12-01T17:44:47+00:00,,
Spryker.PriceProductOfferVolume:1.0.1,3878,2021-12-01T17:44:45+00:00,,
Spryker.EventDispatcher:1.3.1,3878,2021-12-01T17:44:44+00:00,,
Spryker.CustomerNoteGui:1.2.0,3878,2021-12-01T17:44:43+00:00,,
Spryker.Gui:3.41.2,3833,2021-11-24T13:34:13+00:00,,
Spryker.AclMerchantPortal:1.3.0,3824,2021-11-23T15:44:17+00:00,,
Spryker.AclEntityDummyProduct:0.2.1,3824,2021-11-23T15:44:16+00:00,,
Spryker.AclEntity:1.1.0,3824,2021-11-23T15:44:15+00:00,,
SprykerShop.CatalogPage:1.22.1,3509,2021-11-19T11:08:07+00:00,,
SprykerShop.CartPage:3.29.1,3882,2021-11-19T10:33:03+00:00,,
Spryker.Gui:3.41.1,3859,2021-11-17T13:57:12+00:00,,
Spryker.Customer:7.38.0,3859,2021-11-17T13:57:11+00:00,,
Spryker.ProductPageSearch:3.26.2,3870,2021-11-15T12:11:15+00:00,,
Spryker.ProductCategoryStorage:2.3.0,3870,2021-11-15T12:11:14+00:00,,
Spryker.ZedUi:1.3.0,3837,2021-11-12T13:02:34+00:00,,
Spryker.UserMerchantPortalGui:1.1.1,3837,2021-11-12T13:02:33+00:00,,
Spryker.TaxMerchantPortalGui:1.0.1,3837,2021-11-12T13:02:32+00:00,,
Spryker.SecurityMerchantPortalGui:1.2.0,3837,2021-11-12T13:02:30+00:00,,
Spryker.SalesMerchantPortalGui:1.4.0,3837,2021-11-12T13:02:29+00:00,,
Spryker.ProductOfferMerchantPortalGui:1.4.0,3837,2021-11-12T13:02:28+00:00,,
Spryker.ProductMerchantPortalGui:1.4.0,3837,2021-11-12T13:02:27+00:00,,
Spryker.MerchantProfileMerchantPortalGui:1.2.0,3837,2021-11-12T13:02:26+00:00,,
Spryker.GuiTable:1.2.0,3837,2021-11-12T13:02:25+00:00,,
Spryker.DummyMerchantPortalGui:0.3.2,3837,2021-11-12T13:02:24+00:00,,
Spryker.DashboardMerchantPortalGui:1.2.0,3837,2021-11-12T13:02:23+00:00,,
Spryker.AclMerchantPortal:1.2.0,3837,2021-11-12T13:02:22+00:00,,
Spryker.PriceProductSchedule:2.4.0,3251,2021-11-12T10:46:07+00:00,,
Spryker.Discount:9.20.0,3875,2021-11-12T10:00:14+00:00,,
SprykerShop.DiscountPromotionWidget:3.4.0,3867,2021-11-11T12:37:20+00:00,,
Spryker.Gui:3.41.0,3867,2021-11-11T12:37:15+00:00,,
Spryker.Discount:9.19.0,3867,2021-11-11T12:37:13+00:00,,
SprykerEco.Loggly:0.1.1,3881,2021-11-10T11:59:03+00:00,,
Spryker.Discount:9.18.0,3836,2021-11-01T16:13:09+00:00,,
Spryker.Calculation:4.11.0,3836,2021-11-01T16:13:08+00:00,,
Spryker.Development:3.30.4,3872,2021-11-01T12:19:43+00:00,,
SprykerShop.ShopUi:1.56.0,3862,2021-10-29T13:11:52+00:00,,
SprykerShop.ShopApplication:1.13.0,3862,2021-10-29T13:11:51+00:00,,
SprykerShop.ProductNewPage:1.2.0,3862,2021-10-29T13:11:50+00:00,,
SprykerShop.ProductLabelWidget:1.6.0,3862,2021-10-29T13:11:49+00:00,,
SprykerShop.ProductCategoryWidget:1.5.0,3862,2021-10-29T13:11:48+00:00,,
SprykerShop.MoneyWidget:1.5.0,3862,2021-10-29T13:11:47+00:00,,
SprykerShop.LanguageSwitcherWidget:1.4.0,3862,2021-10-29T13:11:46+00:00,,
SprykerShop.CustomerPage:2.35.0,3862,2021-10-29T13:11:45+00:00,,
SprykerShop.CurrencyWidget:1.5.0,3862,2021-10-29T13:11:44+00:00,,
SprykerShop.CompanyPage:2.19.0,3862,2021-10-29T13:11:43+00:00,,
SprykerShop.CmsPage:1.7.0,3862,2021-10-29T13:11:42+00:00,,
SprykerShop.CheckoutPage:3.19.0,3862,2021-10-29T13:11:41+00:00,,
SprykerShop.CategoryWidget:1.4.0,3862,2021-10-29T13:11:40+00:00,,
Spryker.Locale:3.8.0,3862,2021-10-29T13:11:25+00:00,,
Spryker.Currency:3.14.0,3862,2021-10-29T13:11:24+00:00,,
Spryker.Wishlist:6.6.0,,2021-10-29T09:45:32+00:00,,
Spryker.WishlistsRestApiExtension:1.1.0,3827,2021-10-29T08:14:21+00:00,,
Spryker.WishlistsRestApi:1.6.0,3827,2021-10-29T08:14:20+00:00,,
Spryker.WishlistExtension:1.3.0,3827,2021-10-29T08:14:19+00:00,,
Spryker.Wishlist:8.6.0,3827,2021-10-29T08:14:18+00:00,,
Spryker.ProductDiscontinued:1.6.0,3827,2021-10-29T08:14:17+00:00,,
Spryker.ProductConfigurationsPriceProductVolumesRestApi:0.2.1,3827,2021-10-29T08:14:16+00:00,,
